LEAID,chron_absent,enrolled,absent_rate
400208,92.0,181.0,50.82872928176796
400209,54.0,205.0,26.34146341463415
400210,39.0,97.0,40.20618556701031
400211,34.0,217.0,15.668202764976957
400212,332.0,1225.0,27.10204081632653
400214,13.0,29.0,44.827586206896555
400217,16.0,247.0,6.477732793522267
400218,75.0,882.0,8.503401360544217
400219,75.0,200.0,37.5
400221,136.0,315.0,43.17460317460318
400223,78.0,687.0,11.353711790393014
400225,119.0,698.0,17.048710601719197
400227,91.0,168.0,54.166666666666664
400229,19.0,300.0,6.333333333333334
400230,168.0,605.0,27.768595041322314
400231,29.0,198.0,14.646464646464647
400232,60.0,440.0,13.636363636363635
400235,42.0,314.0,13.375796178343949
400237,45.0,349.0,12.893982808022923
400238,66.0,253.0,26.08695652173913
400239,315.0,1115.0,28.251121076233183
400241,299.0,2474.0,12.085691188358933
400243,92.0,147.0,62.585034013605444
400244,232.0,892.0,26.00896860986547
400246,197.0,525.0,37.523809523809526
400248,111.0,367.0,30.24523160762943
400254,14.0,157.0,8.9171974522293
400255,92.0,792.0,11.616161616161616
400258,11.0,98.0,11.224489795918368
400259,533.0,604.0,88.24503311258279
400261,175.0,684.0,25.584795321637426
400263,6.0,28.0,21.428571428571427
400264,18.0,53.0,33.9622641509434
400268,91.0,824.0,11.04368932038835
400274,154.0,158.0,97.46835443037975
400275,15.0,57.0,26.31578947368421
400279,80.0,301.0,26.578073089701
400280,101.0,498.0,20.281124497991968
400281,46.0,509.0,9.037328094302556
400282,691.0,1915.0,36.08355091383812
400284,107.0,262.0,40.839694656488554
400285,29.0,63.0,46.03174603174603
400290,151.0,692.0,21.820809248554912
400295,2865.0,6939.0,41.2883700821444
400310,103.0,522.0,19.731800766283524
400311,122.0,492.0,24.796747967479675
400317,70.0,281.0,24.91103202846975
400318,92.0,247.0,37.24696356275304
400320,103.0,445.0,23.146067415730336
400323,24.0,327.0,7.339449541284404
400326,136.0,757.0,17.96565389696169
400327,239.0,1173.0,20.375106564364877
400328,35.0,70.0,50.0
400330,187.0,426.0,43.89671361502347
400332,71.0,103.0,68.93203883495146
400339,102.0,308.0,33.116883116883116
400340,127.0,1051.0,12.0837297811608
400343,81.0,205.0,39.51219512195122
400344,5.0,8.0,62.5
400350,71.0,161.0,44.099378881987576
400351,36.0,68.0,52.94117647058824
400353,447.0,487.0,91.78644763860369
400355,424.0,439.0,96.58314350797266
400356,158.0,211.0,74.88151658767772
400359,29.0,271.0,10.70110701107011
400361,206.0,2003.0,10.284573140289567
400366,117.0,359.0,32.590529247910865
400367,90.0,113.0,79.64601769911505
400368,132.0,476.0,27.73109243697479
400370,37.0,118.0,31.35593220338983
400373,41.0,512.0,8.0078125
400374,95.0,364.0,26.098901098901102
400376,52.0,246.0,21.138211382113823
400377,23.0,76.0,30.263157894736842
400381,65.0,215.0,30.23255813953488
400394,73.0,94.0,77.6595744680851
400395,116.0,681.0,17.033773861967695
400396,22.0,142.0,15.492957746478872
400397,31.0,175.0,17.71428571428571
